YEAR,MAT,BALLS,RUNS,WKTS,BBM,AVE,ECON,SR,4W,5W
Career,278,0,0,0,-,-,-,-,0,0
2025,14,0,0,0,-,-,-,-,0,0
2024,14,0,0,0,-,-,-,-,0,0
2023,16,0,0,0,-,-,-,-,0,0
2022,14,0,0,0,-,-,-,-,0,0
2021,16,0,0,0,-,-,-,-,0,0
2020,14,0,0,0,-,-,-,-,0,0
2019,15,0,0,0,-,-,-,-,0,0
2018,16,0,0,0,-,-,-,-,0,0
2017,16,0,0,0,-,-,-,-,0,0
2016,14,0,0,0,-,-,-,-,0,0
2015,17,0,0,0,-,-,-,-,0,0
2014,16,0,0,0,-,-,-,-,0,0
2013,18,0,0,0,-,-,-,-,0,0
2012,19,0,0,0,-,-,-,-,0,0
2011,16,0,0,0,-,-,-,-,0,0
2010,13,0,0,0,-,-,-,-,0,0
2009,14,0,0,0,-,-,-,-,0,0
2008,16,0,0,0,-,-,-,-,0,0
